DealerID,InventoryID
988434,776470
884326,877934
440242,298870
976428,196394
406518,473213
431743,772863
973089,725693
585710,830044
180435,731317
637133,759814
86873,329007
174217,979560
839976,467319
914803,681251
767798,127951
154954,158390
255203,929538
652914,681133
821227,974514
945133,926939
436610,759925
405470,781594
936790,893512
126398,322252
843656,537562
113661,362018
562077,722108
957477,858811
499834,947929
580100,999784
851673,412858
182579,813148
152823,833306
920264,660253
680104,369509
206210,360376
663085,351820
241036,587983
842182,568866
212114,551261
120992,737558
5845,945989
522743,812462
769098,646238
667029,853649
154943,243570
169893,786083
151602,294984
786477,141730
755756,491113
164401,225257
