0,86,2,4,2019
1,39,7,2,2019
2,46,1,10,2019
3,29,17,12,2019
4,54,9,9,2019
5,12,15,1,2019
6,65,9,4,2019
7,60,30,11,2019
8,2,30,2,2019
9,24,15,1,2019
10,87,26,2,2019
11,9,27,6,2019
12,44,10,7,2019
13,20,20,5,2019
14,79,9,11,2019
15,5,5,4,2019
16,69,1,9,2019
17,16,1,8,2019
18,41,11,7,2019
19,49,14,4,2019
20,14,14,5,2019
21,82,21,11,2019
22,7,18,10,2019
23,35,22,3,2019
24,17,29,10,2019
25,40,1,7,2019
26,59,13,4,2019
27,81,29,4,2019
28,107,11,4,2019
29,48,25,10,2019
30,58,24,4,2019
31,64,3,4,2019
32,84,8,10,2019
33,56,28,5,2019
34,108,14,7,2019
35,91,30,6,2019
36,74,10,10,2019
37,10,23,11,2019
38,26,19,1,2019
39,61,12,9,2019
40,32,6,11,2019
41,37,30,5,2019
42,21,7,4,2019
43,36,16,4,2019
44,100,6,8,2019
45,27,12,6,2019
46,105,17,4,2019
47,83,7,2,2019
48,101,22,2,2019
49,11,16,8,2019
50,78,1,1,2019
51,52,20,8,2019
52,73,16,9,2019
53,31,24,4,2019
54,68,5,7,2019
55,102,4,6,2019
56,96,15,2,2019
57,45,7,12,2019
58,51,2,7,2019
59,23,16,11,2019
60,30,22,5,2019
61,80,30,4,2019
62,13,24,9,2019
63,66,26,8,2019
64,33,2,4,2019
65,63,5,11,2019
66,92,3,11,2019
67,53,23,3,2019
68,15,6,11,2019
69,72,12,2,2019
70,88,24,7,2019
71,98,5,9,2019
72,99,14,10,2019
73,89,1,10,2019
74,97,3,4,2019
75,76,5,12,2019
76,62,12,2,2019
77,3,2,1,2019
78,50,6,3,2019
79,55,19,5,2019
80,28,16,5,2019
81,67,28,1,2019
82,95,3,3,2019
83,104,10,6,2019
84,94,20,10,2019
85,77,10,6,2019
86,75,24,12,2019
87,18,7,8,2019
88,57,29,3,2019
89,4,2,3,2019
90,0,8,5,2019
91,109,15,1,2019
92,106,9,1,2019
93,70,21,5,2019
94,19,17,5,2019
95,71,1,9,2019
96,85,6,10,2019
97,42,8,4,2019
98,103,3,11,2019
99,6,30,6,2019
100,34,8,7,2019
101,1,17,3,2019
102,25,22,4,2019
103,43,14,3,2019
104,90,22,1,2019
105,38,8,4,2019
106,22,28,3,2019
107,93,15,4,2019
108,47,29,9,2019
109,8,9,9,2019
110,37,12,7,2019
111,57,12,8,2019
112,2,6,4,2019
113,99,17,11,2019
114,9,29,9,2019
115,8,26,1,2019
116,55,26,4,2019
117,34,12,1,2019
118,0,28,1,2019
119,14,7,11,2019
120,65,19,6,2019
121,106,3,3,2019
122,83,17,7,2019
123,75,8,12,2019
124,48,18,7,2019
125,45,16,1,2019
126,1,18,5,2019
127,65,7,5,2019
128,105,29,7,2019
129,12,16,4,2019
130,76,13,10,2019
131,98,18,11,2019
132,105,23,10,2019
133,44,10,6,2019
134,53,9,6,2019
135,30,30,8,2019
136,61,7,5,2019
